status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,7,4096,1,0.99,0.9902213813655606,0.9460755291907588,42.25325922993943,0.1077782930806279,42.36103752302006
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,8,5120,2,0.9893333333333332,0.9895545679012344,0.942021682022782,39.4531452980591,1.6665001739747822,41.11964547203388
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,9,6144,0,0.9893333333333332,0.9895244122756032,0.941338822570379,37.285561424912885,1.2068343220744282,38.49239574698731
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,0,42,1,0.99,0.9901933261432964,0.9453934686415124,43.097791947075166,0.0878180959261953,43.18561004300136
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,1,123,2,0.986,0.98638671492442,0.9256152310053072,42.95683440496214,0.0882832390489056,43.04511764401104
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,2,456,0,0.99,0.990164837423439,0.9447523025231932,39.641248784028,0.6700655539752916,40.311314338003285
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,3,789,1,0.9893333333333332,0.9895545679012344,0.942021682022782,42.95561784598976,0.112631153082475,43.06824899907224
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,4,1024,2,0.9893333333333332,0.9895545679012344,0.942021682022782,42.99813257192727,0.2327574311057105,43.23089000303298
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,5,2048,0,0.9866666666666668,0.986905515344504,0.9264233739332484,39.5449714170536,1.0930902489926666,40.63806166604627
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,6,3072,1,0.992,0.9921433092067024,0.9562542712075096,39.55366114003118,1.1035569160012528,40.657218056032434
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,7,4096,2,0.99,0.9902213813655606,0.9460755291907588,42.77299284597393,0.0471515350509434,42.82014438102488
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,8,5120,0,0.9893333333333332,0.9895545679012344,0.942021682022782,41.26049922092352,0.4095470909960568,41.67004631191958
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.01,6,9,6144,1,0.9893333333333332,0.9895244122756032,0.941338822570379,42.7410677280277,0.083745202049613,42.824812930077314
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,0,42,2,0.9893333333333332,0.9895545679012344,0.942021682022782,42.794969748938456,0.0848552118986845,42.87982496083714
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,1,123,0,0.986,0.98638671492442,0.9256152310053072,42.94940080295783,0.0828105640830472,43.03221136704087
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,2,456,1,0.9906666666666668,0.9908338607411528,0.9487965468889444,42.95762857305817,0.0844762480119243,43.0421048210701
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,3,789,2,0.99,0.9901933261432964,0.9453934686415124,39.47730570996646,0.9700388580095024,40.44734456797596
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,4,1024,0,0.9893333333333332,0.9895545679012344,0.942021682022782,40.17897364892997,1.4945519630564377,41.673525611986406
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,5,2048,1,0.9866666666666668,0.986905515344504,0.9264233739332484,42.96700634097215,0.2124831599649042,43.17948950093705
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,6,3072,2,0.992,0.9921433092067024,0.9562542712075096,42.832737466087565,0.0995747050037607,42.932312171091326
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,7,4096,0,0.99,0.9902213813655606,0.9460755291907588,43.1243757000193,0.2227119059534743,43.34708760597277
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,8,5120,1,0.988,0.988282298882174,0.9353700213076752,43.0772901349701,0.103594017913565,43.180884152883664
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.05,6,9,6144,2,0.9886666666666668,0.9888857696290692,0.9379569206847956,40.7833230040269,1.1289806599961594,41.91230366402306
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,0,42,0,0.9966666666666668,0.9966400755284308,0.9805571131969576,285.17350467597134,0.2371515620034188,285.4106562379748
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,1,123,1,0.996,0.996,0.976810219993713,285.1753744210582,0.0925410010386258,285.26791542209685
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,2,456,2,0.996,0.9959615546218488,0.9766394448969592,280.7701853590552,1.3067578980699182,282.0769432571251
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,3,789,0,0.9973333333333332,0.9973163830309104,0.9844649139608554,281.486932978034,1.3043684390140695,282.7913014170481
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,4,1024,1,0.9953333333333332,0.995340603358116,0.9730368435381364,287.0678559480002,0.2257634790148586,287.2936194270151
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,5,2048,2,0.9926666666666668,0.9926081661625475,0.9569943361344564,287.0417361620348,0.0765353209571912,287.118271482992
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,6,3072,0,0.996,0.9959615546218488,0.9766394448969592,286.9657957670279,0.1014092549448832,287.0672050219728
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,7,4096,1,0.9906666666666668,0.9904504197573456,0.9449265089561836,278.04713992693,1.355196587042883,279.40233651397284
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,8,5120,2,0.9953333333333332,0.9952807936150396,0.9727117770954384,286.9317445360357,0.227829165989533,287.1595737020252
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,9,6144,0,0.996,0.9959615546218488,0.9766394448969592,216.85505133902188,1.589241864043288,218.4442932030652
