dataset,model,entanglement,noise_level,n,mean_delta_pp,ci90_lo,ci90_hi,p_t,p_wilcoxon,shapiro_W,shapiro_p,p_tost_1pp,p_tost_0p5pp,p_t_holm,p_wilcoxon_holm,sig_t_holm,sig_w_holm,equiv_1pp,equiv_0p5pp
UNSW-2018,QVE,linear,0.02,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.05,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.0003,30,0.006666666666666672,0.0003562673107085409,0.012977066022624804,0.08307466551442909,0.10247043485974937,0.34671047671703425,1.7832852565325952e-10,4.760060904467199e-51,3.0532100829936194e-42,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.0005,30,0.004444444444445435,-0.0008025227474922347,0.009691411636383105,0.16078820842587654,0.15729920705028502,0.27537524707197014,4.401719843571043e-11,2.118028211402247e-53,1.2793650519747068e-44,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.001,30,-0.002222222222219757,-0.008836909828868483,0.0043924653844289695,0.5725145639418752,1.0,0.43319965688814477,1.12765265767602e-09,1.6379073697389658e-50,9.207262078443983e-42,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.002,30,1.4802973661668755e-15,-0.007680773498053038,0.007680773498055999,0.999999999999741,0.7054569861112734,0.514033794534372,7.5639261561495e-09,1.1676771667601558e-48,6.114692781104565e-40,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.005,30,0.013333333333333345,0.0007125346214178589,0.02595413204524883,0.0830746655144111,0.07923197027281548,0.7329148195841888,4.879789465106343e-06,3.053210082988153e-42,2.2644384958229898e-33,1.0,1.0,False,False,True,True
UNSW-2018,QWE,full,0.008,30,0.07111111111111217,0.04626209744864837,0.09596012477357596,3.7177731651679e-05,0.00016869477376910233,0.9340490715824683,0.06295754460639484,5.5405686372922795e-33,2.0799330833992703e-23,0.002119130704145703,0.009615602104838833,True,True,True,True
UNSW-2018,QWE,full,0.01,30,0.1333333333333305,0.10511236948314326,0.16155429718351774,7.47004007509951e-09,1.0315339562833816e-05,0.9159777270427669,0.021119838747966645,1.5794163796676607e-30,5.554361043947589e-20,4.3326232435577164e-07,0.0006086050342071951,True,True,True,True
UNSW-2018,QWE,full,0.02,30,0.826666666666665,0.708098807243378,0.945234526089952,1.2380203246782748e-12,1.7191759138770554e-06,0.9081845021671049,0.013395292565489086,0.009508570862693466,0.9999692643018046,7.428121948069648e-11,0.00010315055483262333,True,True,True,False
UNSW-2018,QWE,full,0.05,30,65.34444444444445,54.92700044297907,75.76188844590983,1.5249809690239326e-11,1.8001290894419185e-05,0.5605823600641796,2.4915621530351652e-08,0.999999999989092,0.999999999990884,8.997387717241202e-10,0.0010440748718763128,True,True,False,False
UNSW-2018,QWE,linear,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.0003,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.0005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.001,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.002,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.008,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.01,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.02,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QWE,linear,0.05,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-NB15,QSVC,full,0.0,30,0.02666666666666706,-0.07575004708529527,0.12908338041862938,0.6614755672311114,0.8584626501256489,0.6377765119287491,2.1808683536858657e-07,2.469656761042969e-16,5.822892994121869e-09,1.0,1.0,False,False,True,True
