dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
UNSW-2018,6,42,0.1,0.9888888888888889,0.9370425713316365,0.9885961746661855,52.182930898852646
UNSW-2018,6,42,0.5,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,1.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,2.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,5.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,10.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,50.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,42,100.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,52.182930898852646
UNSW-2018,6,123,0.01,0.9755555555555555,0.8576578123452985,0.9740174840808524,51.08712097397074
UNSW-2018,6,123,0.1,0.9855555555555555,0.9176280903896606,0.9850508413668682,51.08712097397074
UNSW-2018,6,123,0.5,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,1.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,2.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,5.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,10.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,50.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,123,100.0,0.9955555555555555,0.9751204801766553,0.9955105239587998,51.08712097397074
UNSW-2018,6,456,0.01,0.9744444444444444,0.8508169931438423,0.9727514140282456,53.1964227759745
UNSW-2018,6,456,0.1,0.9888888888888889,0.9370425713316365,0.9885961746661855,53.1964227759745
UNSW-2018,6,456,0.5,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,1.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,2.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,5.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,10.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,50.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,456,100.0,0.9911111111111112,0.949842349549416,0.9909262327866979,53.1964227759745
UNSW-2018,6,789,0.01,0.9766666666666667,0.8642172905925323,0.9754251001405947,50.7518761891406
UNSW-2018,6,789,0.1,0.9777777777777777,0.8711362610313024,0.9769358953562106,50.7518761891406
UNSW-2018,6,789,0.5,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,1.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,2.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,5.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,10.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,50.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,789,100.0,0.9866666666666667,0.924337651170113,0.9864613818551978,50.7518761891406
UNSW-2018,6,1024,0.01,0.9744444444444444,0.8504777470219038,0.9730846334873181,54.23676334018819
UNSW-2018,6,1024,0.1,0.9855555555555555,0.9177995205639962,0.9852943997783076,54.23676334018819
UNSW-2018,6,1024,0.5,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,1.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,2.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,5.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,10.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,50.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,1024,100.0,0.9922222222222222,0.9565940889069467,0.9922028956537622,54.23676334018819
UNSW-2018,6,2048,0.01,0.9822222222222222,0.8979395299883721,0.9814419464488043,55.69997906219214
